ID,Tweet,Date,Via
374667940827635712,"So, yes, a 100% JS App is 100% awesome","08:59:32, 9-3, 2013",web
374656867466637312,"""vituperating priests"" who rail against JavaScript abuse are mostly complaining about things","08:15:32, 9-3, 2013",web
374654221292806144,"Node/Browserify/CJS folks, is there any benefit","08:05:01, 9-3, 2013",Twitter for iPhone
374640446955212800,100% JavaScript applications. You may get some,"07:10:17, 9-3, 2013",Twitter for iPhone
374613490763169792,A node.js app that will order you a sandwich,"05:23:10, 9-3, 2013",web
374605591554949120,I'd like sync versions of all async APIs,"04:51:47, 9-3, 2013",Twitter for iPhone
374398931137863681,Web Components. Yes!,"15:10:35, 9-2, 2013",web
374384884099211264,objects can be protected in JavaScript. There,"14:14:46, 9-2, 2013",web
374353413942689793,use this opportunity to start another Ember vs Angular argument,"12:09:43, 9-2, 2013",web
374310662345748480,"thanks to #Lodash. Very useful! Very, very useful!","09:19:50, 9-2, 2013",web
374305317305057281,I think `true == false` has never returned true,"08:58:36, 9-2, 2013",web
374237024531668992,So the defacto response for large scale JS development will always be: Use X?,"04:27:14, 9-2, 2013",web
374158616774721538,"Just write your own! It shouldn't be too hard, the algorithm is all specified in the HTML spec","23:15:40, 9-1, 2013",Twitter for iPhone
373908159489777664,Can anyone explain why I should use Ember.js,"06:40:26, 9-1, 2013",web
373875170538053633,I wanna hear all about these JavaScript pragmas,"04:29:21, 9-1, 2013",web
373864010606587905,Is this a bad time to mention that there are more lines of JavaScript written every day,"03:45:00, 9-1, 2013",web
373853165973557248,let collateral damage,"03:01:55, 9-1, 2013",web
373815487135629315,More gophers and more carts,"00:32:11, 9-1, 2013",web
373801618958848000,needing help with my code. It seems some objects can't be accessed after I run some methods?,"23:37:05, 8-31, 2013",Twitter for iPhone
373572102470643714,Does this notion of data channels make *any* sense?,"08:25:04, 8-31, 2013",web
373550542150053888,"unlike CoffeeScript, which only gives you ambiguous looking syntax","06:59:24, 8-31, 2013",web
373527272126287872,IE's JIT/GC are on their own,"05:26:56, 8-31, 2013",web
